187	2.99	57	NC-17
188	2.99	136	PG
189	0.99	139	NC-17
190	4.99	172	NC-17
191	0.99	143	PG-13
192	4.99	50	R
193	2.99	153	G
194	0.99	104	PG
195	4.99	112	R
196	0.99	69	G
197	2.99	112	R
198	2.99	184	NC-17
199	2.99	56	R
200	0.99	133	PG-13
201	2.99	176	PG
202	4.99	161	G
203	4.99	84	G
204	0.99	106	PG
205	0.99	58	NC-17
206	0.99	144	G
207	4.99	121	PG
208	2.99	89	PG-13
209	2.99	99	NC-17
210	4.99	130	NC-17
211	4.99	165	PG-13
212	4.99	185	G
213	0.99	104	R
214	4.99	59	PG-13
215	4.99	57	PG
216	4.99	113	G
217	4.99	120	G
218	0.99	122	NC-17
219	4.99	51	PG-13
220	2.99	106	NC-17
221	0.99	100	R
222	4.99	64	R
223	2.99	76	NC-17
224	4.99	81	G
225	0.99	76	PG-13
226	4.99	56	G
227	4.99	88	R
228	0.99	143	PG-13
229	4.99	87	R
230	2.99	107	G
231	2.99	63	R
232	2.99	147	NC-17
233	0.99	141	PG
234	2.99	94	R
235	2.99	68	PG-13
236	2.99	100	R
237	2.99	47	G
238	2.99	57	G
239	4.99	122	G
240	2.99	120	PG-13
241	0.99	125	NC-17
242	0.99	68	R
243	4.99	49	NC-17
244	4.99	139	NC-17
245	0.99	177	R
246	4.99	154	R
247	0.99	47	G
248	4.99	177	NC-17
249	0.99	176	G
250	0.99	170	NC-17
251	4.99	133	NC-17
252	2.99	135	PG
253	4.99	61	PG-13
254	2.99	159	PG-13
255	4.99	175	NC-17
256	4.99	178	R
257	0.99	110	G
258	0.99	96	PG
259	2.99	116	NC-17
260	4.99	132	G
261	0.99	171	G
262	0.99	119	NC-17
263	4.99	154	R
264	2.99	101	G
265	4.99	168	PG
266	0.99	141	PG-13
267	4.99	140	NC-17
268	4.99	96	NC-17
269	0.99	98	R
270	0.99	85	NC-17
271	4.99	148	G
272	4.99	153	NC-17
273	0.99	107	PG
274	2.99	67	PG
275	0.99	85	PG
276	4.99	115	NC-17
277	4.99	126	PG-13
278	4.99	155	NC-17
279	4.99	152	NC-17
280	0.99	177	G
281	0.99	143	G
282	0.99	92	NC-17
283	0.99	85	NC-17
284	4.99	77	NC-17
285	0.99	51	PG-13
286	2.99	158	NC-17
287	0.99	176	R
288	2.99	167	R
289	4.99	66	G
290	0.99	163	PG
291	0.99	174	PG-13
292	0.99	51	G
293	2.99	167	G
294	4.99	138	PG-13
295	0.99	97	PG
296	2.99	178	R
297	2.99	122	G
298	2.99	172	PG-13
299	0.99	144	PG-13
300	4.99	102	PG-13
301	0.99	155	R
302	2.99	131	G
303	0.99	58	PG-13
304	2.99	130	G
305	2.99	91	PG
306	0.99	104	PG-13
307	4.99	77	NC-17
308	2.99	142	PG
309	0.99	98	R
310	4.99	158	R
311	0.99	72	PG
312	4.99	75	R
313	4.99	118	G
314	0.99	91	R
315	0.99	156	R
316	4.99	173	R
317	0.99	148	PG
318	0.99	103	G
319	2.99	125	R
320	4.99	80	PG-13
321	4.99	123	NC-17
322	2.99	100	G
323	4.99	179	R
324	4.99	148	PG-13
325	2.99	145	PG-13
326	2.99	69	NC-17
327	4.99	158	PG
328	2.99	131	NC-17
329	2.99	63	R
330	4.99	112	NC-17
331	2.99	90	NC-17
332	0.99	159	NC-17
333	2.99	126	R
334	4.99	65	NC-17
335	0.99	133	PG-13
336	4.99	99	PG
337	2.99	73	R
338	4.99	51	PG
339	0.99	111	R
340	4.99	183	PG-13
341	0.99	82	PG
342	4.99	83	R
343	2.99	94	PG
344	0.99	178	PG-13
345	0.99	161	PG
346	4.99	128	R
347	4.99	119	PG-13
348	0.99	86	PG-13
349	2.99	185	PG-13
350	4.99	80	G
351	2.99	106	PG
352	0.99	176	PG-13
353	2.99	125	NC-17
354	4.99	85	G
355	0.99	101	R
356	2.99	102	R
357	0.99	114	G
358	0.99	163	R
359	4.99	173	PG
360	0.99	103	G
361	2.99	89	NC-17
362	2.99	115	PG-13
363	0.99	54	R
364	2.99	73	NC-17
365	4.99	154	R
366	0.99	93	G
367	0.99	153	R
368	2.99	84	R
369	4.99	56	PG
370	2.99	108	R
371	4.99	129	G
372	4.99	140	R
373	2.99	156	G
374	0.99	117	PG
375	2.99	85	NC-17
376	0.99	155	G
377	0.99	135	G
378	2.99	93	NC-17
379	0.99	166	R
380	2.99	176	PG
381	4.99	150	R
382	0.99	137	PG
383	0.99	111	NC-17
384	4.99	49	R
385	4.99	139	PG-13
386	4.99	53	NC-17
387	0.99	100	G
388	0.99	70	NC-17
389	2.99	127	PG-13
390	4.99	84	R
391	2.99	146	PG-13
392	4.99	51	NC-17
393	2.99	47	PG-13
394	2.99	146	R
395	0.99	108	R
396	4.99	62	G
397	2.99	107	NC-17
398	4.99	47	NC-17
399	2.99	100	G
400	2.99	72	R
401	0.99	168	NC-17
402	0.99	52	G
403	4.99	121	PG-13
404	0.99	107	PG
405	4.99	76	NC-17
406	0.99	181	R
407	0.99	47	PG-13
408	4.99	69	R
409	4.99	59	G
410	2.99	48	PG
411	4.99	49	NC-17
412	4.99	102	G
413	2.99	169	NC-17
414	2.99	75	PG
415	2.99	84	R
416	0.99	110	R
417	0.99	93	G
418	0.99	157	PG-13
419	2.99	141	G
420	4.99	128	PG
421	4.99	78	PG-13
422	4.99	136	NC-17
423	0.99	69	PG
424	0.99	149	R
425	0.99	88	R
426	4.99	185	R
427	0.99	103	R
428	2.99	141	PG-13
429	0.99	84	R
430	0.99	49	G
431	2.99	176	G
432	2.99	139	NC-17
433	2.99	95	PG
434	0.99	139	R
435	4.99	181	PG-13
436	0.99	122	NC-17
437	2.99	109	R
438	2.99	68	NC-17
439	4.99	151	PG-13
440	0.99	105	G
441	2.99	125	PG-13
442	2.99	65	NC-17
443	2.99	49	PG
444	4.99	83	NC-17
445	2.99	100	G
446	4.99	150	PG
447	2.99	131	R
448	2.99	172	PG-13
449	2.99	119	PG-13
450	2.99	84	NC-17
451	4.99	160	NC-17
452	0.99	122	R
453	2.99	178	PG-13
454	0.99	180	PG-13
455	4.99	103	NC-17
456	4.99	167	NC-17
457	0.99	157	NC-17
458	0.99	135	NC-17
459	4.99	74	NC-17
460	4.99	178	PG-13
461	0.99	123	NC-17
462	2.99	78	NC-17
463	2.99	116	PG
464	2.99	107	PG-13
465	4.99	59	R
466	4.99	63	PG-13
467	0.99	181	G
468	2.99	97	PG
469	4.99	46	PG
470	4.99	79	R
471	2.99	84	NC-17
472	4.99	174	G
473	2.99	181	PG-13
474	2.99	174	NC-17
475	0.99	135	G
476	2.99	130	NC-17
477	0.99	118	PG
478	2.99	112	G
479	0.99	128	PG
480	2.99	84	R
481	2.99	58	PG
482	0.99	102	R
483	2.99	171	NC-17
484	2.99	172	NC-17
485	4.99	60	PG
486	4.99	59	R
487	4.99	124	PG-13
488	0.99	105	NC-17
489	0.99	54	PG-13
490	2.99	121	G
491	0.99	74	NC-17
492	0.99	134	NC-17
493	0.99	92	R
494	0.99	120	PG-13
495	2.99	169	PG
496	0.99	179	PG-13
497	0.99	54	G
498	2.99	161	R
499	4.99	184	NC-17
500	4.99	163	PG-13
